Date,Price,Open,High,Low,Change %,Vol.
2019-07-01,173.30,172.57,173.33,172.47,0.32%,622880
2019-07-02,173.35,173.30,173.50,172.97,0.03%,603380
2019-07-03,173.67,173.59,173.90,173.53,0.18%,653580
2019-07-04,173.85,173.72,174.05,173.61,0.10%,483440
2019-07-05,173.18,173.94,173.96,172.99,-0.39%,709220
2019-07-08,173.51,173.41,173.70,173.29,0.19%,512170
2019-07-09,173.21,173.35,173.46,173.04,-0.17%,565770
2019-07-10,172.51,173.05,173.08,172.02,-0.40%,1090000
2019-07-11,171.82,172.54,172.73,171.50,-0.40%,812400
2019-07-12,171.68,171.55,171.88,171.25,-0.08%,766690
2019-07-15,172.33,171.74,172.42,171.49,0.38%,502400
2019-07-16,172.34,172.33,172.68,172.16,0.01%,580060
2019-07-17,172.93,172.47,173.13,172.44,0.34%,528060
2019-07-18,173.25,173.12,173.63,173.02,0.19%,629370
2019-07-19,173.39,173.47,173.57,173.27,0.08%,436420
2019-07-22,173.78,173.39,173.79,173.29,0.22%,408710
2019-07-23,173.91,173.61,173.97,173.56,0.07%,397220
2019-07-24,174.30,173.78,174.51,173.74,0.22%,600270
2019-07-25,174.01,174.26,174.92,173.49,-0.17%,985680
2019-07-26,174.21,174.25,174.30,173.92,0.11%,407410
2019-07-29,174.46,174.32,174.57,174.27,0.14%,390380
2019-07-30,174.55,174.43,174.65,174.36,0.05%,402730
2019-07-31,175.07,174.61,175.28,174.52,0.30%,594050
2019-08-01,175.44,175.03,175.88,174.73,0.21%,728990
2019-08-02,175.82,175.72,176.10,175.62,0.22%,864960
2019-08-05,176.22,175.98,176.63,175.93,0.23%,588130
2019-08-06,176.58,176.61,176.74,176.12,0.20%,538520
2019-08-07,177.36,176.75,177.74,176.72,0.44%,801060
2019-08-08,176.93,177.00,177.42,176.38,-0.24%,851120
2019-08-09,177.16,177.50,177.55,176.96,0.13%,535280
2019-08-12,177.44,177.15,177.68,177.03,0.16%,340320
2019-08-13,177.68,177.50,177.84,177.31,0.14%,579110
2019-08-14,178.31,177.71,178.49,177.62,0.35%,638590
2019-08-15,179.06,178.40,179.66,178.18,0.42%,885060
2019-08-16,178.60,179.39,179.58,178.14,-0.26%,739020
2019-08-19,178.15,178.72,178.84,177.82,-0.25%,738530
2019-08-20,178.90,178.19,179.19,178.19,0.42%,638040
2019-08-21,178.68,178.76,178.83,178.19,-0.12%,545220
2019-08-22,178.04,178.73,178.94,177.65,-0.36%,886660
2019-08-23,178.54,178.01,178.83,177.48,0.28%,648610
2019-08-26,178.52,179.08,179.21,178.22,-0.01%,448010
2019-08-27,178.94,178.51,179.07,178.45,0.24%,518170
2019-08-28,179.30,179.00,179.46,178.88,0.20%,709330
2019-08-29,178.94,179.20,179.36,178.57,-0.20%,734950
2019-08-30,179.10,178.91,179.27,178.63,0.09%,721960
2019-09-02,178.96,179.18,179.20,178.60,-0.08%,608730
2019-09-03,179.32,178.89,179.67,178.81,0.20%,1610000
2019-09-04,178.52,178.97,179.00,177.98,-0.45%,972350
2019-09-05,177.31,178.57,178.57,176.97,-0.68%,225600
2019-09-06,177.70,177.35,177.78,177.09,0.22%,8210
2019-09-09,174.24,175.21,175.30,174.19,-1.95%,645230
2019-09-10,173.98,174.31,174.52,173.75,-0.15%,711970
2019-09-11,174.24,173.80,174.38,173.65,0.15%,619520
2019-09-12,173.93,174.03,175.62,173.23,-0.18%,1240000
2019-09-13,172.44,173.52,173.63,172.18,-0.86%,949710
2019-09-16,172.98,172.51,173.13,172.40,0.31%,600070
2019-09-17,172.87,172.99,173.16,172.67,-0.06%,581500
2019-09-18,173.37,172.87,173.48,172.65,0.29%,505360
2019-09-19,173.30,173.07,173.40,172.86,-0.04%,531380
2019-09-20,173.47,173.32,173.84,173.23,0.10%,475450
2019-09-23,174.54,173.60,174.64,173.29,0.62%,683110
2019-09-24,174.73,174.19,174.88,174.03,0.11%,576510
2019-09-25,174.36,174.88,174.97,173.93,-0.21%,692840
2019-09-26,174.32,174.11,174.46,174.03,-0.02%,523320
2019-09-27,174.21,174.35,174.54,174.05,-0.06%,451670
2019-09-30,174.25,174.35,174.36,173.77,0.02%,531340
2019-10-01,174.20,174.23,174.25,173.31,-0.03%,848640
2019-10-02,173.79,173.86,174.04,173.60,-0.24%,612930
2019-10-03,174.46,173.88,174.78,173.88,0.39%,618530
2019-10-04,174.49,174.53,174.75,174.33,0.02%,429510
2019-10-07,174.31,174.54,174.72,174.17,-0.10%,337410
2019-10-08,174.67,174.24,174.69,173.86,0.21%,556100
2019-10-09,174.05,174.52,174.56,173.85,-0.35%,481560
2019-10-10,173.00,174.06,174.14,172.57,-0.60%,793960
2019-10-11,172.39,172.67,173.15,172.08,-0.35%,951590
2019-10-14,172.58,172.38,172.94,172.32,0.11%,405050
2019-10-15,171.89,172.57,172.82,171.63,-0.40%,742150
2019-10-16,171.58,171.72,172.29,171.37,-0.18%,884390
2019-10-17,171.72,171.64,171.93,170.73,0.08%,845840
2019-10-18,171.49,171.73,171.88,171.24,-0.13%,441620
2019-10-21,170.89,171.45,171.46,170.78,-0.35%,432610
2019-10-22,171.42,170.88,171.73,170.76,0.31%,533810
2019-10-23,171.67,171.68,171.93,171.44,0.15%,490850
2019-10-24,171.83,171.55,171.96,171.16,0.09%,705590
2019-10-25,171.35,171.67,171.80,171.12,-0.28%,480140
2019-10-28,170.70,171.26,171.35,170.56,-0.38%,569510
2019-10-29,171.04,170.68,171.14,170.60,0.20%,507310
2019-10-30,171.06,171.05,171.36,170.79,0.01%,520840
2019-10-31,171.76,171.24,172.03,171.17,0.41%,723720
2019-11-01,171.42,171.84,171.99,171.35,-0.20%,485300
2019-11-04,170.99,171.47,171.47,170.91,-0.25%,449130
2019-11-05,170.53,170.90,170.95,170.30,-0.27%,736200
2019-11-06,170.67,170.45,170.94,170.22,0.08%,567250
2019-11-07,169.57,170.87,170.97,169.17,-0.64%,1140000
2019-11-08,169.69,169.40,169.89,169.12,0.07%,693210
2019-11-11,169.56,169.64,169.99,169.46,-0.08%,350120
2019-11-12,169.54,169.67,169.83,169.26,-0.01%,576490
2019-11-13,170.36,169.75,170.45,169.67,0.48%,703020
2019-11-14,170.99,170.26,171.15,170.26,0.37%,620540
2019-11-15,170.85,170.92,171.05,170.65,-0.08%,413780
2019-11-18,170.84,170.89,171.06,170.55,-0.01%,481340
2019-11-19,170.91,170.84,171.00,170.66,0.04%,448050
2019-11-20,171.09,171.00,171.56,170.95,0.11%,703990
2019-11-21,170.75,171.24,171.35,170.56,-0.20%,686080
2019-11-22,171.24,170.65,171.27,170.31,0.29%,687670
2019-11-25,171.09,171.15,171.24,170.94,-0.09%,473060
2019-11-26,171.45,171.04,171.49,170.88,0.21%,497720
2019-11-27,171.35,171.30,171.52,171.13,-0.06%,639290
2019-11-28,171.26,171.42,171.60,171.16,-0.05%,486680
2019-11-29,171.07,171.29,171.40,170.91,-0.11%,884110
2019-12-02,169.92,170.99,171.00,169.85,-0.67%,1680000
2019-12-03,171.04,170.02,171.14,169.74,0.66%,1650000
2019-12-04,170.70,171.06,171.31,170.56,-0.20%,966540
2019-12-05,170.32,170.70,170.84,170.06,-0.22%,147380
2019-12-06,170.53,170.37,170.53,170.18,0.12%,12900
2019-12-09,172.37,172.10,172.59,172.02,1.08%,374590
2019-12-10,172.23,172.34,172.45,172.07,-0.08%,488020
2019-12-11,172.63,172.31,172.88,172.17,0.23%,431700
2019-12-12,171.75,172.70,172.99,171.61,-0.51%,665980
2019-12-13,172.10,171.23,172.31,170.75,0.20%,729470
2019-12-16,171.92,172.16,172.43,171.80,-0.10%,511320
2019-12-17,172.13,172.03,172.29,171.96,0.12%,417670
2019-12-18,171.48,172.11,172.40,171.35,-0.38%,485080
2019-12-19,171.28,171.60,171.66,170.90,-0.12%,562470
2019-12-20,171.54,171.26,171.63,171.06,0.15%,304510
2019-12-23,171.43,171.56,171.88,171.30,-0.06%,193930
2019-12-27,171.61,171.69,171.79,171.42,0.11%,168140
2019-12-30,170.49,171.58,171.68,170.42,-0.65%,360680
2020-01-02,171.26,170.54,171.42,170.19,0.45%,509180
2020-01-03,172.12,171.10,172.38,171.10,0.50%,528220
2020-01-06,172.24,172.45,172.60,172.07,0.07%,496410
2020-01-07,172.12,172.21,172.31,171.91,-0.07%,582590
2020-01-08,171.78,172.50,173.22,171.26,-0.20%,825680
2020-01-09,171.14,171.31,171.51,171.01,-0.37%,732940
2020-01-10,171.35,171.31,171.43,170.85,0.12%,555740
2020-01-13,170.76,171.36,171.43,170.71,-0.34%,611440
2020-01-14,171.01,170.74,171.08,170.65,0.15%,694220
2020-01-15,171.46,171.05,171.72,171.01,0.26%,672850
2020-01-16,171.72,171.62,171.80,171.35,0.15%,637670
2020-01-17,171.61,171.66,171.82,171.46,-0.06%,484600
2020-01-20,171.67,171.76,171.76,171.52,0.03%,233910
2020-01-21,172.21,171.75,172.27,171.55,0.31%,752510
2020-01-22,172.33,172.04,172.50,171.91,0.07%,584940
2020-01-23,173.03,172.41,173.09,172.35,0.41%,765000
2020-01-24,173.28,172.82,173.54,172.60,0.14%,812600
2020-01-27,174.23,173.75,174.27,173.41,0.55%,892310
2020-01-28,173.68,174.11,174.48,173.48,-0.32%,885020
2020-01-29,174.06,173.66,174.28,173.41,0.22%,628560
2020-01-30,174.57,174.23,174.65,174.23,0.29%,761980
2020-01-31,175.04,174.29,175.30,174.16,0.27%,763630
2020-02-03,174.88,175.10,175.14,174.62,-0.09%,692500
2020-02-04,174.53,175.06,175.07,174.25,-0.20%,837830
2020-02-05,173.92,174.33,174.63,173.65,-0.35%,947840
2020-02-06,173.82,173.71,173.96,173.42,-0.06%,762860
2020-02-07,174.18,173.87,174.42,173.84,0.21%,725070
2020-02-10,174.57,174.33,174.69,174.01,0.22%,500710
2020-02-11,174.26,174.48,174.55,174.13,-0.18%,766470
2020-02-12,174.02,174.17,174.20,173.72,-0.14%,737950
2020-02-13,174.27,174.16,174.64,174.05,0.14%,879840
2020-02-14,174.48,174.29,174.59,174.10,0.12%,470470
2020-02-17,174.45,174.35,174.52,174.08,-0.02%,264960
2020-02-18,174.53,174.51,174.92,174.29,0.05%,761810
2020-02-19,174.66,174.41,174.74,174.28,0.07%,635290
2020-02-20,174.96,174.55,175.12,174.51,0.17%,869930
2020-02-21,174.93,174.98,175.37,174.77,-0.02%,955610
2020-02-24,175.58,175.39,175.86,175.13,0.37%,1260000
2020-02-25,176.02,175.37,176.21,175.21,0.25%,1130000
2020-02-26,175.83,175.88,176.30,175.38,-0.11%,1410000
2020-02-27,176.58,175.99,176.89,175.86,0.43%,1340000
2020-02-28,177.46,176.52,177.79,176.52,0.50%,1460000
2020-03-02,177.83,177.82,178.38,177.00,0.21%,1980000
2020-03-03,177.74,177.41,178.25,176.83,-0.05%,1840000
2020-03-04,177.90,178.23,178.36,177.46,0.09%,1170000
2020-03-05,178.59,177.55,178.90,177.50,0.39%,167780
2020-03-06,179.44,179.02,179.56,179.00,0.48%,12750
2020-03-09,178.23,177.21,179.31,177.05,-0.67%,994790
2020-03-10,177.59,177.55,177.91,175.41,-0.36%,1280000
2020-03-11,176.77,177.07,177.91,176.55,-0.46%,1010000
2020-03-12,176.50,176.81,177.64,175.90,-0.15%,1010000
2020-03-13,174.17,176.32,176.57,173.12,-1.32%,1010000
2020-03-16,172.17,174.60,175.25,171.97,-1.15%,623390
2020-03-17,171.93,172.00,172.47,170.90,-0.14%,773970
2020-03-18,168.79,171.39,171.39,168.24,-1.83%,879200
2020-03-19,167.94,170.01,171.18,167.52,-0.50%,813150
2020-03-20,170.42,168.53,170.84,168.52,1.48%,543200
2020-03-23,171.12,170.69,171.54,170.22,0.41%,496860
2020-03-24,170.27,171.13,171.38,170.19,-0.50%,454210
2020-03-25,169.62,170.50,170.78,169.34,-0.38%,464920
2020-03-26,171.07,169.69,171.35,169.69,0.85%,545090
2020-03-27,172.56,170.95,173.07,170.90,0.87%,560940
2020-03-30,173.60,172.94,173.83,172.62,0.60%,427480
2020-03-31,172.51,172.84,173.16,172.33,-0.63%,508920
2020-04-01,172.57,172.70,173.48,172.23,0.03%,483250
2020-04-02,171.92,172.56,172.60,171.60,-0.38%,540020
2020-04-03,172.06,171.96,172.44,171.80,0.08%,391640
2020-04-06,171.82,171.85,172.05,171.42,-0.14%,320310
2020-04-07,170.49,171.81,171.90,170.24,-0.77%,567350
2020-04-08,170.46,170.79,171.31,170.00,-0.02%,620310
2020-04-09,170.90,170.12,171.09,170.01,0.26%,455320
2020-04-14,171.54,170.47,171.71,170.28,0.37%,274440
2020-04-15,172.68,171.42,172.78,171.36,0.66%,532340
2020-04-16,172.67,172.43,172.90,172.04,-0.01%,459930
2020-04-17,172.85,172.44,172.89,172.17,0.10%,299090
2020-04-20,172.41,172.65,173.01,172.19,-0.25%,392720
2020-04-21,172.91,172.54,173.26,172.45,0.29%,528250
2020-04-22,172.00,172.71,172.95,171.67,-0.53%,517770
2020-04-23,172.10,171.85,172.48,171.29,0.06%,571170
2020-04-24,172.76,172.38,172.87,172.27,0.38%,417980
2020-04-27,172.45,172.68,172.91,172.23,-0.18%,392520
2020-04-28,172.75,172.40,172.84,172.09,0.17%,423810
2020-04-29,173.06,172.75,173.28,172.58,0.18%,531310
2020-04-30,174.43,172.95,174.57,172.94,0.79%,780390
2020-05-04,174.04,174.37,174.69,173.77,-0.22%,497880
2020-05-05,174.41,174.13,174.55,173.42,0.21%,642960
2020-05-06,173.30,174.15,174.23,173.19,-0.64%,599620
2020-05-07,173.89,173.49,174.08,172.89,0.34%,652670
2020-05-08,173.77,173.87,174.24,173.52,-0.07%,302210
2020-05-11,173.53,173.47,173.74,173.13,-0.14%,445980
2020-05-12,173.37,173.18,173.49,172.80,-0.09%,616390
2020-05-13,173.63,173.55,173.92,173.41,0.15%,550620
2020-05-14,173.65,173.56,174.08,173.50,0.01%,540230
2020-05-15,173.74,173.62,174.23,173.59,0.05%,471060
2020-05-18,173.16,173.75,174.09,172.61,-0.33%,678100
2020-05-19,172.70,172.82,173.11,172.26,-0.27%,685900
2020-05-20,172.72,172.76,172.97,172.51,0.01%,547620
2020-05-21,173.15,172.89,173.27,172.66,0.25%,432620
2020-05-22,173.12,173.11,173.52,172.93,-0.02%,460080
2020-05-25,173.06,173.05,173.28,172.98,-0.03%,136200
2020-05-26,172.16,173.11,173.16,172.01,-0.52%,705340
2020-05-27,172.07,172.28,172.53,171.50,-0.05%,841050
2020-05-28,172.05,171.82,172.32,171.68,-0.01%,637250
2020-05-29,172.46,172.15,172.57,172.00,0.24%,810340
2020-06-01,171.65,172.37,172.42,171.47,-0.47%,638430
2020-06-02,171.86,171.92,172.15,171.67,0.12%,1110000
2020-06-03,170.97,171.66,171.87,170.86,-0.52%,1450000
2020-06-04,170.54,171.04,171.34,170.37,-0.25%,1110000
2020-06-05,169.86,170.55,170.70,169.66,-0.40%,183510
2020-06-08,170.22,170.13,170.27,169.88,0.21%,11880
2020-06-09,173.46,173.61,174.02,173.30,1.90%,646570
2020-06-10,173.81,173.47,174.18,173.25,0.20%,644910
2020-06-11,175.24,174.28,175.34,174.12,0.82%,598110
2020-06-12,175.57,175.25,175.60,174.90,0.19%,513630
2020-06-15,175.52,175.62,175.98,175.28,-0.03%,475610
2020-06-16,175.40,175.22,175.58,174.90,-0.07%,592820
2020-06-17,175.40,175.34,175.63,174.80,0.00%,596320
2020-06-18,175.59,175.28,175.76,175.16,0.11%,548600
2020-06-19,175.68,175.61,175.79,175.30,0.05%,383640
2020-06-22,176.11,175.74,176.37,175.60,0.24%,440630
2020-06-23,175.61,175.85,176.13,175.45,-0.28%,559800
2020-06-24,176.01,175.53,176.12,175.20,0.23%,592630
2020-06-25,176.55,176.11,176.72,176.09,0.31%,526350
2020-06-26,176.70,176.39,176.80,176.32,0.08%,399580
2020-06-29,176.66,176.75,176.86,176.35,-0.02%,350340
2020-06-30,176.52,176.58,176.86,176.16,-0.08%,534410
2020-07-01,175.29,176.15,176.20,175.20,-0.70%,550710
2020-07-02,176.01,175.19,176.06,175.04,0.41%,628120
2020-07-03,176.02,175.98,176.24,175.85,0.01%,244230
2020-07-06,175.96,175.88,176.15,175.62,-0.03%,407430
2020-07-07,175.88,176.07,176.30,175.72,-0.05%,413700
2020-07-08,176.13,176.11,176.37,176.02,0.14%,435170
2020-07-09,176.52,176.01,176.61,175.96,0.22%,443340
2020-07-10,176.63,176.41,176.92,176.34,0.06%,476770
2020-07-13,175.63,176.48,176.49,175.54,-0.57%,503250
2020-07-14,176.20,175.98,176.25,175.74,0.32%,476670
2020-07-15,176.12,176.03,176.47,175.92,-0.05%,538080
2020-07-16,176.62,176.17,176.74,176.07,0.28%,472600
2020-07-17,176.27,176.41,176.68,176.10,-0.20%,332010
2020-07-20,176.37,176.19,176.54,175.77,0.06%,465200
2020-07-21,176.37,176.24,176.45,176.06,0.00%,407570
2020-07-22,176.93,176.37,176.95,176.20,0.32%,482280
2020-07-23,176.72,176.79,176.89,176.59,-0.12%,404140
2020-07-24,176.09,176.77,176.98,175.95,-0.36%,608250
2020-07-27,176.80,176.06,176.87,175.96,0.40%,481820
2020-07-28,177.13,176.51,177.24,176.49,0.19%,494530
2020-07-29,176.95,177.15,177.29,176.83,-0.10%,431540
2020-07-30,177.69,177.00,177.80,176.92,0.42%,531230
2020-07-31,177.52,177.71,178.01,177.25,-0.10%,573930
2020-08-03,177.31,177.44,177.48,177.03,-0.12%,380280
2020-08-04,177.81,177.31,178.01,177.19,0.28%,454200
2020-08-05,177.10,177.96,178.00,177.00,-0.40%,492400
2020-08-06,177.60,177.02,177.81,176.92,0.28%,547060
2020-08-07,177.17,177.38,177.67,177.07,-0.24%,394370
2020-08-10,177.50,177.16,177.64,176.89,0.19%,366170
2020-08-11,176.66,177.39,177.50,176.56,-0.47%,562340
2020-08-12,176.24,176.86,176.88,175.93,-0.24%,642980
2020-08-13,175.56,176.43,176.60,175.27,-0.39%,635290
2020-08-14,175.76,175.26,175.81,175.25,0.11%,486100
2020-08-17,176.21,175.61,176.27,175.54,0.26%,470450
2020-08-18,176.43,176.14,176.51,176.03,0.12%,514880
2020-08-19,176.57,176.47,176.87,176.39,0.08%,542390
2020-08-20,176.95,176.58,177.18,176.45,0.22%,562700
2020-08-21,177.10,176.87,177.37,176.75,0.08%,531590
2020-08-24,177.02,177.21,177.25,176.73,-0.05%,461450
2020-08-25,175.89,176.95,176.95,175.75,-0.64%,760040
2020-08-26,175.66,176.00,176.04,175.47,-0.13%,733620
2020-08-27,175.44,175.94,176.58,175.28,-0.13%,873370
2020-08-28,175.68,175.29,175.82,175.06,0.14%,916050
2020-08-31,175.56,175.63,175.78,175.22,-0.07%,629220
2020-09-01,175.72,175.46,176.18,175.17,0.09%,947620
2020-09-02,176.67,176.12,176.82,176.00,0.54%,1140000
2020-09-03,177.07,176.74,177.18,176.49,0.23%,1290000
2020-09-04,176.78,176.93,177.04,176.37,-0.16%,615880
2020-09-07,176.52,176.47,176.86,176.19,-0.15%,133130
2020-09-08,176.93,176.52,176.94,176.42,0.23%,14260
2020-09-09,173.68,174.34,174.41,173.51,-1.84%,607810
2020-09-10,173.11,173.61,173.91,173.06,-0.33%,665070
2020-09-11,173.96,173.66,174.04,173.54,0.49%,462190
2020-09-14,174.00,174.02,174.32,173.91,0.02%,433070
2020-09-15,174.00,174.05,174.15,173.78,0.00%,472410
2020-09-16,173.92,174.12,174.29,173.84,-0.05%,455120
2020-09-17,174.26,174.05,174.45,173.74,0.20%,647270
2020-09-18,174.07,174.07,174.43,173.93,-0.11%,438520
2020-09-21,174.65,174.08,174.85,173.95,0.33%,608200
2020-09-22,174.37,174.56,174.74,174.25,-0.16%,588250
2020-09-23,174.21,174.38,174.64,174.19,-0.09%,574540
2020-09-24,174.44,174.43,174.72,174.22,0.13%,557160
2020-09-25,174.67,174.27,174.70,174.16,0.13%,472170
2020-09-28,174.62,174.58,174.68,174.31,-0.03%,427300
2020-09-29,174.87,174.63,174.90,174.58,0.14%,498120
2020-09-30,174.52,174.81,174.95,174.34,-0.20%,714170
2020-10-01,174.66,174.50,174.71,174.17,0.08%,715320
2020-10-02,174.66,174.61,174.97,174.60,0.00%,526390
2020-10-05,174.42,174.67,174.90,174.19,-0.14%,529430
2020-10-06,174.27,174.18,174.65,174.15,-0.09%,664920
2020-10-07,174.13,174.58,174.61,173.93,-0.08%,705090
2020-10-08,174.48,174.10,174.58,174.04,0.20%,455630
2020-10-09,174.68,174.52,174.86,174.49,0.11%,492240
2020-10-12,174.81,174.74,174.87,174.60,0.07%,307190
2020-10-13,175.06,174.88,175.13,174.76,0.14%,492610
2020-10-14,175.35,175.07,175.50,175.04,0.17%,546060
2020-10-15,175.90,175.37,176.28,175.35,0.31%,836380
2020-10-16,176.07,175.82,176.29,175.77,0.10%,478750
2020-10-19,176.11,176.01,176.17,175.77,0.02%,486450
2020-10-20,175.81,176.10,176.24,175.66,-0.17%,585020
2020-10-21,175.71,175.67,175.86,175.34,-0.06%,647920
2020-10-22,175.19,175.54,175.73,175.17,-0.30%,613670
2020-10-23,175.26,175.20,175.52,175.00,0.04%,551140
2020-10-26,175.30,175.50,175.73,175.10,0.02%,573120
2020-10-27,175.94,175.45,176.06,175.27,0.37%,590380
2020-10-28,176.07,176.08,176.43,175.95,0.07%,793210
2020-10-29,176.31,176.03,176.44,175.92,0.14%,698750
2020-10-30,176.15,176.18,176.38,175.90,-0.09%,683410
2020-11-02,176.24,176.25,176.36,175.90,0.05%,530000
2020-11-03,176.02,176.29,176.37,175.82,-0.12%,584730
2020-11-04,176.40,175.71,176.83,175.53,0.22%,787730
2020-11-05,176.33,176.52,176.65,176.09,-0.04%,616560
2020-11-06,176.03,176.42,176.49,175.86,-0.17%,591310
2020-11-09,174.36,176.09,176.46,174.26,-0.95%,1190000
2020-11-10,174.02,174.54,174.63,173.92,-0.19%,994340
2020-11-11,174.30,174.01,174.50,173.66,0.16%,653880
2020-11-12,174.74,174.42,174.97,174.26,0.25%,665820
2020-11-13,174.94,174.91,175.17,174.78,0.11%,512600
2020-11-16,174.93,174.94,175.29,174.45,-0.01%,675210
2020-11-17,175.18,174.94,175.27,174.85,0.14%,526430
2020-11-18,175.12,175.28,175.46,174.91,-0.03%,526040
2020-11-19,175.33,175.20,175.41,175.10,0.12%,521650
2020-11-20,175.53,175.45,175.73,175.25,0.11%,512290
2020-11-23,175.41,175.70,175.71,175.26,-0.07%,552780
2020-11-24,175.26,175.37,175.47,175.12,-0.09%,520860
2020-11-25,175.33,175.10,175.46,174.96,0.04%,507150
2020-11-26,175.51,175.18,175.59,175.16,0.10%,333130
2020-11-27,175.50,175.59,175.65,175.41,-0.01%,360720
2020-11-30,175.25,175.63,175.72,175.21,-0.14%,744760
2020-12-01,174.56,175.32,175.45,174.47,-0.39%,1190000
2020-12-02,174.48,174.56,174.69,174.37,-0.05%,1140000
2020-12-03,174.94,174.63,175.18,174.56,0.26%,1330000
2020-12-04,174.82,175.15,175.22,174.81,-0.07%,756780
2020-12-07,175.41,175.03,175.51,175.03,0.34%,128890
2020-12-08,175.43,175.37,175.61,175.35,0.01%,16390
2020-12-09,178.19,178.08,178.30,177.91,1.57%,418760
2020-12-10,178.08,178.30,178.55,177.77,-0.06%,704190
2020-12-11,178.68,178.27,178.77,178.17,0.34%,561970
2020-12-14,178.42,178.37,178.56,178.13,-0.15%,444210
2020-12-15,178.27,178.37,178.57,178.17,-0.08%,440330
2020-12-16,177.55,178.28,178.31,177.27,-0.40%,691250
2020-12-17,177.69,177.60,177.98,177.34,0.08%,519600
2020-12-18,177.66,177.74,177.85,177.28,-0.02%,416570
2020-12-21,177.86,177.83,178.44,177.61,0.11%,520420
2020-12-22,177.93,177.70,178.09,177.63,0.04%,344000
2020-12-23,177.07,178.07,178.18,177.01,-0.48%,507280
